Date,Close
2017-10-02,169.470001
2017-10-03,169.960007
2017-10-04,168.419998
2017-10-05,171.240005
2017-10-06,172.229996
2017-10-09,172.5
2017-10-10,171.589996
2017-10-11,172.740005
2017-10-12,172.550003
2017-10-13,173.740005
2017-10-16,174.520004
2017-10-17,176.110001
2017-10-18,176.029999
2017-10-19,174.559998
2017-10-20,174.979996
2017-10-23,171.270004
2017-10-24,171.800003
2017-10-25,170.600006
2017-10-26,170.630005
2017-10-27,177.880005
2017-10-30,179.869995
2017-10-31,180.059998
2017-11-01,182.660004
2017-11-02,178.919998
2017-11-03,178.919998
2017-11-06,180.169998
2017-11-07,180.25
2017-11-08,179.559998
2017-11-09,179.300003
2017-11-10,178.460007
2017-11-13,178.770004
2017-11-14,178.070007
2017-11-15,177.949997
2017-11-16,179.589996
2017-11-17,179
2017-11-20,178.740005
2017-11-21,181.860001
2017-11-22,180.869995
2017-11-24,182.779999
2017-11-27,183.029999
2017-11-28,182.419998
2017-11-29,175.130005
2017-11-30,177.179993
2017-12-01,175.100006
2017-12-04,171.470001
2017-12-05,172.830002
2017-12-06,176.059998
2017-12-07,180.139999
2017-12-08,179
2017-12-11,179.039993
2017-12-12,176.960007
2017-12-13,178.300003
2017-12-14,178.389999
2017-12-15,180.179993
2017-12-18,180.820007
2017-12-19,179.509995
2017-12-20,177.889999
2017-12-21,177.449997
2017-12-22,177.199997
2017-12-26,175.990005
2017-12-27,177.619995
2017-12-28,177.919998
2017-12-29,176.460007
2018-01-02,181.419998
2018-01-03,184.669998
2018-01-04,184.330002
2018-01-05,186.850006
2018-01-08,188.279999
2018-01-09,187.869995
2018-01-10,187.839996
2018-01-11,187.770004
2018-01-12,179.369995
2018-01-16,178.389999
2018-01-17,177.600006
2018-01-18,179.800003
2018-01-19,181.289993
2018-01-22,185.369995
2018-01-23,189.350006
2018-01-24,186.550003
2018-01-25,187.479996
2018-01-26,190
2018-01-29,185.979996
2018-01-30,187.119995
2018-01-31,186.889999
2018-02-01,193.089996
2018-02-02,190.279999
2018-02-05,181.259995
2018-02-06,185.309998
2018-02-07,180.179993
2018-02-08,171.580002
2018-02-09,176.110001
2018-02-12,176.410004
2018-02-13,173.149994
2018-02-14,179.520004
2018-02-15,179.960007
2018-02-16,177.360001
2018-02-20,176.009995
2018-02-21,177.910004
2018-02-22,178.990005
2018-02-23,183.289993
2018-02-26,184.929993
2018-02-27,181.460007
2018-02-28,178.320007
2018-03-01,175.940002
2018-03-02,176.619995
2018-03-05,180.399994
2018-03-06,179.779999
2018-03-07,183.710007
2018-03-08,182.339996
2018-03-09,185.229996
2018-03-12,184.759995
2018-03-13,181.880005
2018-03-14,184.190002
2018-03-15,183.860001
2018-03-16,185.089996
2018-03-19,172.559998
2018-03-20,168.149994
2018-03-21,169.389999
2018-03-22,164.889999
2018-03-23,159.389999
2018-03-26,160.059998
2018-03-27,152.220001
2018-03-28,153.029999
2018-03-29,159.789993
2018-04-02,155.389999
2018-04-03,156.110001
2018-04-04,155.100006
2018-04-05,159.339996
2018-04-06,157.199997
2018-04-09,157.929993
2018-04-10,165.039993
2018-04-11,166.320007
2018-04-12,163.869995
2018-04-13,164.520004
